domain,status,available,registered,shortlist_rank,score,source,brand_note,checked_at,remaining_requests,http_status,error
mistrelay.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.452931+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
mistroute.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.455987+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
mistvault.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.463134+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
novacloak.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.568115+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
novarelay.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.681671+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
novaroute.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.669832+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
novavault.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.568457+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
orbitveil.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.682111+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
quietveil.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:26.981219+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
roamcloak.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.096931+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
roamrelay.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.189849+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
roamroute.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.185639+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
roamvault.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.096695+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
swiftveil.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.221444+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
truecloak.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.495537+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
truerelay.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.496122+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
trueroute.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.490652+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
truevault.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.498885+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
vaultlane.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:28.293199+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
veilroute.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:28.283955+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
velocloak.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.612124+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
velorelay.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.715408+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
veloroute.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.715869+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
velovault.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.597818+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
zenshield.com,unchecked-account-cap,,,,44.8,curated,,2026-08-30T20:12:27.912580+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
arcdash.com,registered,False,True,,43.5,curated,,2026-08-30T20:12:22.446746+00:00,,200,
arclane.com,registered,False,True,,43.5,curated,,2026-08-30T20:12:23.354243+00:00,,200,
arcnest.com,registered,False,True,,43.5,curated,,2026-08-30T20:12:22.919539+00:00,,200,
ciphora.com,registered,False,True,,43.5,curated,,2026-08-30T20:15:28.629059+00:00,63,200,
zenlane.com,unchecked-account-cap,,,,43.5,curated,,2026-08-30T20:12:27.911508+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
arcprivate.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:28.012522+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
blinkcloak.com,available,True,False,2,43.45,curated,Strong product name: speed and protection are both immediately legible.,2026-08-30T20:14:43.840854+00:00,75,200,
blinkroute.com,registered,False,True,,43.45,curated,,2026-08-30T20:14:49.281001+00:00,74,200,
blinkvault.com,registered,False,True,,43.45,curated,,2026-08-30T20:14:40.421458+00:00,76,200,
brightveil.com,registered,False,True,,43.45,curated,,2026-08-30T20:15:07.284799+00:00,69,200,
cipherveil.com,registered,False,True,,43.45,curated,,2026-08-30T20:15:43.222895+00:00,59,200,
clearcloak.com,registered,False,True,,43.45,curated,,2026-08-30T20:16:13.358732+00:00,51,200,
clearvault.com,registered,False,True,,43.45,curated,,2026-08-30T20:16:09.278224+00:00,52,200,
cloakroute.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:28.022991+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
cloudcloak.com,registered,False,True,,43.45,curated,,2026-08-30T20:16:40.689891+00:00,44,200,
cloudrelay.com,registered,False,True,,43.45,curated,,2026-08-30T20:16:59.328684+00:00,39,200,
cloudroute.com,registered,False,True,,43.45,curated,,2026-08-30T20:16:44.079676+00:00,43,200,
cloudvault.com,registered,False,True,,43.45,curated,,2026-08-30T20:16:36.444283+00:00,45,200,
driftcloak.com,available,True,False,4,43.45,curated,Suggests private movement across borders; distinctive but slightly softer.,2026-08-30T20:17:14.319759+00:00,35,200,
driftrelay.com,registered,False,True,,43.45,curated,,2026-08-30T20:17:22.624104+00:00,33,200,
driftroute.com,registered,False,True,,43.45,curated,,2026-08-30T20:17:17.989941+00:00,34,200,
driftvault.com,registered,False,True,,43.45,curated,,2026-08-30T20:17:07.239458+00:00,37,200,
embercloak.com,registered,False,True,,43.45,curated,,2026-08-30T20:17:40.379714+00:00,28,200,
embervault.com,registered,False,True,,43.45,curated,,2026-08-30T20:17:43.948648+00:00,27,200,
evershield.com,registered,False,True,,43.45,curated,,2026-08-30T20:18:14.066453+00:00,19,200,
fluxshield.com,registered,False,True,,43.45,curated,,2026-08-30T20:19:06.085091+00:00,5,200,
glidecloak.com,available,True,False,5,43.45,curated,"Conveys effortless performance, though the term also appears in tabletop gaming.",2026-08-30T20:19:02.705651+00:00,6,200,
gliderelay.com,registered,False,True,,43.45,curated,,2026-08-30T20:19:26.879920+00:00,0,200,
glideroute.com,registered,False,True,,43.45,curated,,2026-08-30T20:19:18.943444+00:00,2,200,
glidevault.com,registered,False,True,,43.45,curated,,2026-08-30T20:18:59.273105+00:00,7,200,
haloshield.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:25.802861+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
hushshield.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.026025+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
ivorycloak.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.037270+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
ivoryrelay.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.142071+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
ivoryroute.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.137768+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
ivoryvault.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.031670+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
lumashield.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.335924+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
mistshield.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.567711+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
novashield.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.682264+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
orbitcloak.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.853311+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
orbitrelay.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.856846+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
orbitroute.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.855158+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
orbitvault.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.687278+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
privyroute.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:28.144827+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
quietcloak.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.973922+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
quietrelay.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.969096+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
quietroute.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.974494+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
quietvault.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:26.976005+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
roamshield.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:27.217372+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
shieldlane.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:28.180837+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
swiftcloak.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:27.379220+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
swiftrelay.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:27.380288+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
swiftroute.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:27.379652+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
swiftvault.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:27.220854+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
trueshield.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:27.612442+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
veloshield.com,unchecked-account-cap,,,,43.45,curated,,2026-08-30T20:12:27.720729+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
arccloak.com,available,True,False,3,43.15,curated,Shortest option with a crisp technical feel and strong logo potential.,2026-08-30T20:12:22.153146+00:00,,200,
veillink.com,unchecked-account-cap,,,,43.15,curated,,2026-08-30T20:12:28.250152+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
aerolane.com,registered,False,True,,42.15,curated,,2026-08-30T20:12:22.042901+00:00,,200,
airhaven.com,registered,False,True,,42.15,curated,,2026-08-30T20:12:21.974387+00:00,,200,
airyveil.com,unchecked-account-cap,,,,42.15,semantic,,2026-08-30T20:12:38.204359+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
arcdrift.com,registered,False,True,,42.15,curated,,2026-08-30T20:12:22.736382+00:00,,200,
arcrelay.com,unchecked-account-cap,,,,42.15,semantic,,2026-08-30T20:12:38.390604+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
auragate.com,registered,False,True,,42.15,curated,,2026-08-30T20:12:24.054142+00:00,,200,
auralane.com,registered,False,True,,42.15,curated,,2026-08-30T20:12:23.939908+00:00,,200,
calmveil.com,unchecked-account-cap,,,,42.15,semantic,,2026-08-30T20:12:39.803912+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
everlane.com,registered,False,True,,42.15,curated,,2026-08-30T20:18:10.674480+00:00,20,200,
fluxlane.com,registered,False,True,,42.15,curated,,2026-08-30T20:18:52.089626+00:00,9,200,
halolane.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:25.801984+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
hushlane.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:25.932644+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
hushpath.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:28.043755+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
lumalane.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:26.337558+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
mistlane.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:26.453751+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
mistpath.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:28.044506+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
novalane.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:26.570202+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
roamlane.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:27.085172+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
truelane.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:27.490265+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
velolane.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:27.628714+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
zenhaven.com,unchecked-account-cap,,,,42.15,curated,,2026-08-30T20:12:27.912775+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
everrelay.com,registered,False,True,,41.8,curated,,2026-08-30T20:18:28.944512+00:00,15,200,
everroute.com,registered,False,True,,41.8,curated,,2026-08-30T20:18:25.571443+00:00,16,200,
arcbay.com,unchecked-account-cap,,,,40.85,semantic,,2026-08-30T20:12:38.217500+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
archop.com,unchecked-account-cap,,,,40.85,semantic,,2026-08-30T20:12:38.394245+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
aerorelay.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:37.588368+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
aeroroute.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:37.687730+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
airycloak.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:37.865080+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
airyrelay.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:38.087230+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
airyroute.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:38.087498+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
airyvault.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:38.100799+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
arcshield.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:38.524766+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
auradrift.com,registered,False,True,,40.8,curated,,2026-08-30T20:12:23.493162+00:00,,200,
aurahaven.com,registered,False,True,,40.8,curated,,2026-08-30T20:14:32.356716+00:00,78,200,
aurarelay.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:38.753753+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
blinklane.com,registered,False,True,,40.8,curated,,2026-08-30T20:14:52.829676+00:00,73,200,
calmcloak.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:39.574480+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
calmrelay.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:39.695885+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
calmroute.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:39.778493+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
calmvault.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:39.803050+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
cipherbay.com,registered,False,True,,40.8,curated,,2026-08-30T20:15:32.058052+00:00,62,200,
clearlane.com,registered,False,True,,40.8,curated,,2026-08-30T20:16:05.848506+00:00,53,200,
cloudlane.com,registered,False,True,,40.8,curated,,2026-08-30T20:16:47.830151+00:00,42,200,
driftlane.com,registered,False,True,,40.8,curated,,2026-08-30T20:17:10.868560+00:00,36,200,
emberlane.com,registered,False,True,,40.8,curated,,2026-08-30T20:17:36.972333+00:00,29,200,
everhaven.com,registered,False,True,,40.8,curated,,2026-08-30T20:18:21.276002+00:00,17,200,
fastcloak.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:42.177879+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
fastrelay.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:42.384883+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
fastroute.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:42.396916+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
fastvault.com,unchecked-account-cap,,,,40.8,semantic,,2026-08-30T20:12:42.385769+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
fluxhaven.com,registered,False,True,,40.8,curated,,2026-08-30T20:18:55.890938+00:00,8,200,
glidelane.com,registered,False,True,,40.8,curated,,2026-08-30T20:19:12.918092+00:00,3,200,
halohaven.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:25.802703+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
ivorylane.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:26.031319+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
lumahaven.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:26.337742+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
misthaven.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:26.549614+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
novahaven.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:26.681456+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
orbitlane.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:26.857041+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
quietlane.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:26.963179+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
quietpath.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:28.182751+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
roamhaven.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:27.194961+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
safeorbit.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:28.131359+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
swiftlane.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:27.380176+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
truehaven.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:27.616053+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
velohaven.com,unchecked-account-cap,,,,40.8,curated,,2026-08-30T20:12:27.731236+00:00,,,Not checked: WhoisJSON first-48-hours free-account cap was reached.
clearrelay.com,registered,False,True,,40.45,curated,,2026-08-30T20:16:20.907956+00:00,49,200,
clearroute.com,registered,False,True,,40.45,curated,,2026-08-30T20:16:16.869400+00:00,50,200,
emberrelay.com,registered,False,True,,40.45,curated,,2026-08-30T20:17:52.183162+00:00,25,200,
